term,2020-01-01,2020-04-01,2020-09-01
setting work,0,15,1
age group,0,10,8
diy graph,0,0,8
end term,5,0,0
screen time,2,30,4
death case,0,0,10
online course,0,16,4
full time,4,19,13
key worker,0,29,0
hospital test,0,0,10
hour day,3,20,0
every day,5,34,6
past paper,5,4,0
2 week,2,12,8
joe wick,2,15,0
math english,9,13,8
higher paper,7,0,0
state primary,6,5,2
home learning,0,31,4
math science,8,5,2
social distancing,0,16,3
young people,2,1,8
read book,7,3,1
death http,0,0,10
map english,0,0,10
lgbt patient,11,0,0
data http,0,0,14
risk assessment,0,2,13
sound like,9,7,3
sent home,0,10,22
work experience,9,0,1
english math,6,9,2
feel like,5,30,3
set work,0,16,2
work set,0,37,1
board game,4,21,0
google classroom,0,17,4
local authority,8,3,4
combined science,0,0,8
face mask,0,0,15
english region,0,0,10
sixth form,6,6,9
surveillance report,0,0,15
foster carers,9,0,0
working home,1,33,3
per day,2,17,2
anyone else,5,14,4
worker child,0,15,0
reading book,6,7,5
triple science,11,1,8
betty crocker,0,0,8
banjo robinson,0,14,0
time table,4,14,6
report http,0,0,14
work home,3,17,2
would better,5,1,2
coffee morning,0,0,9
dot-art club,7,0,0
computer science,2,6,11
part timer,7,0,0
home schooling,4,24,7
week block,6,1,0
would like,12,30,7
easter holiday,0,17,0
gcse level,5,4,5
level math,7,1,7
really well,6,3,0
thing like,2,14,3
msao map,0,0,10
english language,3,3,9
day week,4,19,2
going back,1,9,9
bbc bitesize,2,14,2
next week,5,13,7
mental health,2,11,13
part time,7,4,4
access course,9,0,10
online learning,2,21,9
go back,6,20,11
