term,2020-01-01,2020-04-01,2020-09-01
work,100,590,134
level,93,87,89
learning,44,191,58
course,65,118,81
well,67,119,62
parent,38,164,57
math,140,149,124
etc,43,167,60
online,32,197,55
could,67,146,58
thing,65,181,59
english,55,52,69
week,52,216,75
case,9,22,76
game,31,165,19
class,53,94,100
reading,52,118,76
lot,55,142,71
get,109,272,131
subject,63,90,49
really,70,204,76
time,120,383,134
teacher,98,249,109
http,57,192,188
find,55,85,32
back,35,97,80
go,53,129,77
one,83,279,148
good,93,179,78
working,22,150,36
also,98,220,92
book,68,110,72
kid,27,233,59
much,61,212,87
would,169,322,173
day,70,347,80
gcse,75,69,49
're,37,152,38
set,25,173,41
help,74,126,58
school,65,175,97
need,73,204,88
like,94,246,77
going,33,153,74
know,60,204,85
home,55,296,109
child,122,516,193
