term,2020-01-01,2020-04-01,2020-09-01
1st choice,7,4,0
2nd option,0,4,0
6th form,29,21,31
absolutely fine,0,4,0
academic ability,4,0,0
academic prep,6,0,0
academic result,7,0,0
academic scholarship,7,0,7
academic school,14,0,5
access arrangement,0,0,6
additional support,4,0,0
admin error,0,0,4
administrative error,0,0,4
admission authority,0,4,0
admission code,0,4,0
admission criterion,5,24,18
admission information,0,0,4
admission policy,0,0,4
admission process,0,4,0
admission team,6,0,4
answer question,0,4,4
appeal process,0,6,0
application form,0,5,7
application process,0,0,4
april 16th,4,0,0
aptitude test,0,0,4
art scholarship,4,0,0
assessed grade,0,0,4
assessment day,7,0,0
assessment grade,0,0,13
august born,4,7,0
autumn sitting,0,4,0
autumn term,0,9,0
awarding body,0,0,5
backup school,0,4,0
bad crowd,4,0,0
bad day,5,0,0
banding test,0,0,7
baptism certificate,0,5,0
based school,0,5,0
bigger mortgage,0,4,0
bigger school,4,0,0
biology degree,0,4,0
blanket policy,0,5,0
boarding house,0,0,4
boarding school,29,17,15
book band,4,0,4
boy school,5,0,0
brain fog,5,0,0
break time,4,0,0
bright boy,5,0,0
bright kid,7,0,0
british history,0,7,0
bus route,0,0,4
capital letter,0,0,4
catchment school,8,5,9
catholic primary,0,0,4
catholic school,4,0,11
central london,0,0,5
centre assessed,0,0,4
centre assessment,0,0,13
centre error,0,0,4
child benefit,6,0,0
child friend,0,0,4
child school,15,14,17
choice school,0,19,6
church school,0,0,10
city school,4,0,0
class size,18,33,20
class teacher,7,4,6
closest school,6,0,10
closing date,0,0,4
combined science,4,0,11
coming home,0,0,4
completely agree,0,0,5
comprehension skill,0,0,4
comprehensive school,0,0,5
computer science,4,5,12
contact school,4,0,0
core subject,6,5,0
council tax,0,0,4
council website,0,0,5
covid guideline,0,0,4
covid restriction,0,0,6
covid time,0,0,5
cps hate,4,0,0
creative subject,4,0,0
creative writing,14,0,4
crime guidance,5,0,0
crown prosecution,4,0,0
current address,7,0,0
current head,0,0,4
