term,2020-01-01,2020-04-01,2020-09-01
could,67,146,58
well,67,119,62
course,65,118,81
book,68,110,72
school,65,175,97
kid,27,233,59
're,37,152,38
working,22,150,36
teacher,98,249,109
etc,43,167,60
like,94,246,77
know,60,204,85
lot,55,142,71
level,93,87,89
go,53,129,77
much,61,212,87
also,98,220,92
get,109,272,131
learning,44,191,58
dd,44,113,71
good,93,179,78
math,140,149,124
going,33,153,74
child,122,516,193
reading,52,118,76
time,120,383,134
week,52,216,75
set,25,173,41
need,73,204,88
thing,65,181,59
find,55,85,32
really,70,204,76
game,31,165,19
home,55,296,109
class,53,94,100
online,32,197,55
help,74,126,58
day,70,347,80
english,55,52,69
parent,38,164,57
gcse,75,69,49
got,54,63,45
subject,63,90,49
work,100,590,134
back,35,97,80
case,9,22,76
one,83,279,148
